# iter x y f(x,y)
0 -1.2 1 24.2
1 -1.17528 1.38067 4.73188
2 0.763115 -3.17503 1411.85
3 0.76343 0.582825 0.0559655
4 0.999995 0.944027 0.313189
5 0.999996 0.999991 1.85274e-11
6 1 1 3.43265e-20
